date,UNRATE,PCEPI,PCEPILFE,RPI,PMSAVE,ALTSALES,INDPRO,TCU,PERMIT,HOUST,CIVPART,CPIAUCSL,CPILFESL,AtmCO2,goldMP,silverMP,globalTemp
1976-01-01,7.9,27.795,27.844,5206.807,150.6,12.512,42.9179,78.5352,1195.0,1367.0,61.3,55.8,55.9,331.56,140.35,4.164,0.07977
1976-02-01,7.7,27.831,27.955,5237.103,159.8,13.044,43.3469,79.1583,1190.0,1538.0,61.3,55.9,56.2,332.74,130.4,3.994,-0.569428
1976-03-01,7.6,27.873,28.047,5250.841,158.5,13.085,43.4396,79.1609,1164.0,1421.0,61.3,56.0,56.5,333.36,132.3,4.193,-0.848885
1976-04-01,7.7,27.936,28.157,5271.098,152.5,12.915,43.6562,79.3847,1132.0,1395.0,61.6,56.1,56.7,334.74,129.2,4.121,-0.063653
1976-05-01,7.4,28.069,28.29,5277.153,161.4,12.645,43.842,79.5472,1194.0,1459.0,61.5,56.4,57.0,334.72,128.35,4.414,-0.58281
1976-06-01,7.6,28.192,28.405,5284.953,150.5,12.727,43.8892,79.4537,1188.0,1495.0,61.5,56.7,57.2,333.98,126.65,4.677,-0.477592
1976-07-01,7.8,28.335,28.561,5317.491,155.5,13.122,44.1328,79.7129,1245.0,1401.0,61.8,57.0,57.6,333.08,122.9,4.818,-0.453358
1976-08-01,7.8,28.491,28.726,5332.551,157.0,12.594,44.4373,80.0788,1309.0,1550.0,61.8,57.3,57.9,330.68,111.9,4.471,-0.272633
1976-09-01,7.6,28.651,28.894,5337.168,153.8,13.209,44.5848,80.1586,1481.0,1720.0,61.6,57.6,58.2,328.96,105.7,4.088,-0.036119
1976-10-01,7.7,28.801,29.036,5335.461,150.4,12.537,44.5707,79.9457,1425.0,1629.0,61.6,57.9,58.5,328.72,116.0,4.36,-1.108638
1976-11-01,7.8,28.932,29.168,5382.241,156.3,13.006,45.2543,80.9791,1531.0,1641.0,61.9,58.1,58.7,330.16,122.6,4.299,-0.801555
1976-12-01,7.8,29.094,29.326,5398.735,146.4,14.197,45.7422,81.6559,1511.0,1804.0,61.8,58.4,58.9,331.62,130.5,4.242,-0.748783
1977-01-01,7.5,29.263,29.505,5372.549,147.6,14.019,45.4293,80.9038,1466.0,1527.0,61.6,58.7,59.3,332.68,135.7,4.426,-0.567784
1977-02-01,7.6,29.492,29.686,5389.96,129.4,14.335,46.1459,81.9747,1560.0,1943.0,61.9,59.3,59.7,333.17,132.6,4.469,-0.49821
1977-03-01,7.4,29.64,29.812,5413.846,148.6,14.782,46.7314,82.8042,1660.0,2063.0,62.0,59.6,60.0,334.96,141.4,4.718,-0.207956
1977-04-01,7.2,29.812,29.959,5437.2,149.7,14.753,47.188,83.3995,1660.0,1892.0,62.1,60.0,60.3,336.14,148.3,4.836,0.138507
1977-05-01,7.0,29.963,30.112,5450.793,147.1,14.605,47.552,83.8236,1668.0,1971.0,62.2,60.2,60.6,336.93,148.35,4.774,0.267719
1977-06-01,7.2,30.131,30.292,5459.172,154.3,14.571,47.9155,84.239,1752.0,1893.0,62.4,60.5,61.0,336.17,143.85,4.585,0.184161
